,STATEFP,COUNTYFP,GEOID,node_density_km,street_density_km,circuity_avg,street_length_total,street_segment_count,streets_per_node_avg,orientation_entropy
23,06,21,6021,2.593942059339328,1501.1432376253488,1.174508328194794,5159210.058392179,11672,2.6316320807627593,2.9739939126596258
24,06,17,6017,12.535412975697296,2758.4427383708075,1.2223065331401521,12762356.039442139,69437,2.3948652516509474,3.5594333573973134
25,05,37,5037,4.141731909818778,1822.6405179917172,1.0965256106114345,2937448.8070443566,8237,2.4843445692883894,3.0826275777008463
26,05,63,5063,4.074554869482507,1346.7396390053493,1.10531529471043,2691129.3360921643,10112,2.490665684107099,3.326865751479593
27,06,43,6043,2.625176128787189,1288.7278384997355,1.258536592751865,4882600.805775284,11842,2.394228835712849,3.578188579235829
28,06,75,6075,97.91287471846876,6688.725865706191,1.0521418943913365,4017353.0992881176,93300,3.1732757447966264,3.3284809010096645
29,06,81,6081,68.2153412607214,5620.225683488397,1.1445888173540752,10785687.659892956,181256,2.7672922825431017,3.5264833246650222
30,05,55,5055,7.089270401560168,2066.8241666123477,1.0909729930835899,3101429.9411662165,12964,2.444538447076518,2.9681407599432315
31,05,77,5077,1.9312977880889057,1102.8305853038007,1.0766569423262184,1777047.9532633515,3723,2.417737789203085,2.9699182448367893
32,05,83,5083,1.815855024743652,1021.9908684191485,1.1066489870012066,1932144.6940832944,4349,2.5519953393533354,3.0734099262135577
33,06,57,6057,14.631741535751123,3280.1304573714706,1.2089478067587827,8272880.844198525,43883,2.3815949922770505,3.5598689260396403
34,05,79,5079,1.7456091355253684,1193.1854383701411,1.1017693721801907,1760786.8947800973,3153,2.472049689440994,3.3558198893650837
35,06,61,6061,25.983267002721526,3847.1314020293967,1.1802092375284956,14968315.91837259,132615,2.622226618527128,3.455410168830503
36,06,95,6095,29.371054817931945,4442.656165592387,1.120929499188261,10426480.562199004,93403,2.7067067067067065,3.3517396181258636
37,06,59,6059,138.28896291483406,13200.407956647816,1.1242779205137483,32469772.530399047,477754,2.8039552324367865,3.31736852784213
38,05,41,5041,1.4888717156868565,862.922871677397,1.0986591764557556,1816409.198551636,4050,2.597638800255265,3.2999542701207556
39,05,15,5015,5.526469362659821,1819.0585072741294,1.1542489432740906,3009124.231441746,10822,2.3766134325092976,3.4915631437742145
40,06,35,6035,1.0794236553266727,935.2543251635971,1.1525213724497279,11433523.819823837,16939,2.581539860563807,3.455204951805099
41,05,23,5023,4.240909931172641,1502.4859216295504,1.1256223160373333,2304262.1967631658,7729,2.384840098400984,3.3291961141454838
42,06,67,6067,82.24279746900157,8524.207983944718,1.1171119844729036,21953131.16794077,301813,2.847587662352991,3.2735999650512424
43,06,93,6093,1.7196554055317985,1376.1627895541221,1.3065228987563897,22625608.842273507,35457,2.5169950129098435,3.5514203172561354
44,06,69,6069,3.822497145204985,1503.9287213712507,1.218248244287239,5416114.647558858,17693,2.5775098067703035,3.452757287165503
45,05,71,5071,3.841409939312164,1578.029827513489,1.149673012493776,2795456.133523752,8106,2.394121969140338,3.266088032306131
46,05,85,5085,10.072258467803477,2006.6374455675707,1.0895652097082416,4175340.3885172913,25149,2.4047619047619047,2.989723095115657
47,06,5,6005,6.155838857558141,1925.3640837705825,1.2112818674774064,3021674.6805302342,11342,2.354414656867819,3.567852887433359
48,06,33,6033,8.547137477512097,2106.086173517985,1.251851495430578,7244405.938753209,36958,2.5206462585034015,3.312038639047758
