,STATEFP,COUNTYFP,GEOID,node_density_km,street_density_km,circuity_avg,street_length_total,street_segment_count,streets_per_node_avg,orientation_entropy
39,08,29,8029,2.4384191969530344,1081.3885575168986,1.1842077425491544,3216999.1960486807,9111,2.5216432313206507,3.2543032888125305
40,22,113,22113,1.8572109625926165,756.0923404118665,1.0752583616873028,3000006.2290808246,9393,2.5582847062016554,3.0322993282535777
41,08,45,8045,1.974526897635552,996.7159563552472,1.2260902289340223,7630363.716142594,19035,2.5283805239481345,3.4875333212247837
42,08,89,8089,1.4769574678723898,998.3930577759961,1.0773774310158741,3283232.718003351,6937,2.8690549722050647,2.978154172807161
43,08,87,8087,1.7325628826719106,999.1307751512181,1.0677940926911993,3348192.056141652,8144,2.816569066482949,2.610304358413909
44,08,37,8037,2.8495624989570567,1349.1718468926892,1.2689533853104134,5911700.370308666,16234,2.603315713599231,3.5652673251603346
45,08,39,8039,3.8959605664812518,1055.8617673279,1.1090232606330432,5059840.534735236,21860,2.3479378682378145,3.3614968606687654
46,22,103,22103,16.1552897525159,2723.0462544558623,1.100298195727394,7727042.433490222,58414,2.5476299544096155,3.402651531302205
47,08,1,8001,33.01275372636426,3980.3921753915743,1.096727734553545,12202061.4297401,144740,2.868490741289698,2.9812746858712966
48,08,99,8099,1.6718421973385051,994.6933293100974,1.0845368775615336,4236175.229912519,9722,2.7412921348314607,2.6894416480983563
49,08,97,8097,2.068176717670155,1020.4857247367639,1.296449662935249,2572213.5045817597,6951,2.676577786303472,3.5622711436832084
50,22,105,22105,12.43243262197448,2260.75248097382,1.088821564825427,4941587.100329405,32241,2.3749034038638452,2.9748725544401107
51,08,7,8007,1.3602233995566788,846.9925474492688,1.2595256029763202,2973327.333869126,5713,2.402303664921466,3.558442740964219
52,08,31,8031,374.96285044219184,26977.00820091881,1.0500364504948467,10810650.240411498,241805,3.228395924424834,2.6775617454475946
53,08,119,8119,7.1770506212847405,2156.37984390487,1.2240388490539729,3122327.05610317,12344,2.3842378752886835,3.530929238525237
54,22,15,22015,9.554188380634905,1818.716031043321,1.099801596360789,4083559.4551411443,27616,2.5736528062651503,3.336452501864749
55,08,117,8117,6.604008537329725,1991.1765508691142,1.2680968275767854,3193597.0263499143,14653,2.771997734138973,3.5433680764856366
