GEOID,count
54053,6
54057,7
54055,16
54059,7
54061,24
54065,4
54067,7
54069,18
54077,8
54075,4
54079,10
54081,17
54083,7
54089,4
54087,4
54091,4
54097,6
54103,5
54099,11
54107,26
54109,6
55001,7
55003,7
55005,10
55007,5
55009,54
55011,5
55013,6
55015,11
55017,11
55019,8
55021,12
55023,6
55025,107
55027,20
55029,9
55031,12
55033,8
55035,20
55039,20
55041,4
55043,12
55045,8
55047,6
55049,6
55053,5
55055,20
55057,7
55059,35
55061,4
55065,5
55063,25
55067,6
55069,10
55071,19
55073,27
55075,12
55077,5
55079,297
55081,9
55083,10
55085,14
55087,40
55089,18
55093,8
55095,10
55097,14
55099,6
55101,44
55103,5
55105,38
55107,5
55109,14
55111,13
55113,6
55115,11
55119,6
55117,26
55121,8
55123,7
55125,5
55127,22
55129,5
55131,28
55133,86
55135,12
55137,7
55139,41
55141,17
56001,10
56005,7
56007,5
56009,4
56015,4
56013,10
56021,21
56023,4
56025,18
56029,5
56033,6
56037,12
56039,4
12057,320
12059,4
12061,30
12063,11
12069,56
12071,167
12073,68
12075,10
12079,5
12081,78
12083,63
12085,35
12086,518
12087,31
12089,12
12091,42
12093,12
12095,207
12097,41
12099,337
12101,133
12103,245
12105,154
12107,17
12109,40
12111,44
12113,25
12115,94
12117,86
12119,19
12121,7
12123,4
12127,113
12129,4
12131,11
12133,7
13001,5
13009,9
13011,4
13013,18
13015,15
13017,5
13019,6
13021,44
13031,12
13027,5
13033,6
13039,10
13045,17
13047,11
13053,5
13051,71
13055,6
13057,26
13059,30
13063,50
13067,120
13069,9
13071,10
13073,20
13075,4
13077,20
13081,6
13083,4
13087,7
13089,145
13091,6
13095,27
13097,20
13099,5
13103,10
13105,5
13107,6
13111,5
13113,20
13115,20
13119,5
13117,45
13121,204
13123,5
13127,15
13129,9
13131,6
13133,7
13137,8
13135,113
13139,36
13143,5
13145,5
13147,5
13151,25
13157,11
13153,23
13163,4
13169,6
13175,13
13177,5
13179,15
13185,25
13187,4
13189,5
13193,4
13195,6
13199,4
13205,5
13207,5
13211,5
13213,8
13215,53
13217,13
13219,6
13221,4
13223,19
13225,6
13229,4
13227,6
13231,4
13233,7
13237,5
13241,5
13245,47
13247,15
13251,5
13255,12
13257,5
13267,5
13261,8
13273,4
13277,9
13275,11
13279,6
13285,14
13291,6
13293,7
13295,13
13297,15
13299,9
13303,5
13305,6
13311,5
13313,18
13315,4
13317,4
13321,5
15001,34
15003,244
15007,17
15009,36
16001,59
16005,22
16011,8
16013,4
16017,9
16019,21
16027,29
16031,6
16039,5
16049,5
16051,4
16053,5
16055,25
16057,7
16065,6
16067,5
16069,10
16075,4
16083,14
17003,4
17001,18
17005,4
17007,7
17011,10
17015,6
17017,5
17019,43
17021,10
17023,4
17027,8
17025,4
17029,12
17031,1318
17033,6
17037,21
17039,5
17041,5
17043,216
17045,5
17049,8
17051,7
17053,5
17055,12
17057,12
17063,10
17061,5
17067,7
17073,13
17075,9
17077,14
17081,11
17083,6
17085,6
17087,4
17089,82
17091,29
17093,10
17095,16
17099,28
17097,153
17101,5
17103,9
17105,10
17107,8
17109,10
17111,52
17113,41
17115,34
17117,13
17119,61
17121,12
17123,5
17125,6
17127,4
17131,4
17133,6
17135,8
17137,10
17139,4
17141,11
17143,48
17145,6
17147,4
17157,9
17149,5
17159,5
17161,40
17163,60
17165,9
17167,53
17173,6
17177,13
17179,30
17181,5
17183,24
17185,4
17187,5
17189,4
17191,5
17193,5
17195,18
17197,152
17199,15
17201,77
17203,9
18001,7
18003,96
18005,15
18009,4
18011,10
18013,4
18017,11
18015,7
18019,26
18021,6
18027,7
18023,8
18029,10
18031,6
18033,9
18035,30
18037,7
18039,36
18041,7
18045,5
18043,20
18047,5
18049,6
18051,7
18053,16
18055,9
18057,39
18059,10
18061,6
18063,21
18065,13
18067,20
18069,9
18073,8
18071,10
18075,7
18077,7
18079,6
18081,22
18083,10
18085,19
18087,8
18089,117
18091,28
18093,10
18095,37
18097,224
18099,12
18103,10
18105,31
18107,9
18109,13
18111,4
18113,10
18117,6
18119,5
18121,4
18125,4
18123,5
18127,32
18129,7
18131,4
18133,7
18135,8
18137,6
18139,5
18141,75
18143,5
18145,10
18147,5
18149,7
18151,9
18153,5
18157,37
18159,4
18163,49
18165,5
18167,28
18169,8
18173,11
18175,6
18177,17
18179,7
18181,8
18183,7
19005,5
19007,5
19011,7
19013,38
19015,7
19017,8
19019,6
19021,6
19023,5
19025,4
19027,6
19029,5
19031,5
19033,11
19035,4
19041,4
19037,4
19043,6
19047,5
19045,12
19049,15
19055,4
19057,11
19059,5
19061,26
19063,4
19065,7
19073,4
19067,5
19075,4
19079,5
19081,4
19083,6
19085,5
19087,5
19091,4
